itfx_l,component,itfx_r,type,origin
о,лог,о,root,greek
о,граф,о,root,greek
о,грамм(а),о,root,greek
"о,и",метр,о,root,greek
о,ман,?,root,greek
о,фил,о,root,greek
о,фоб,о,root,greek
о,скоп,?,root,greek
о,фон,о,root,greek
о,пат,о,root,greek
,эпи,0,prefix,greek
,пан,0,prefix,greek
0,авиа,0,root,latin
о,кард[и],о,root,greek
о,дем,о,root,greek
0,агог,,root,greek
о,пед,о,root,greek
о,крат,о,root,greek
(и),стан,,root,turkic
о,библи,о,root,greek
0,антроп,о,root,greek
о,ге,о,root,greek
о,дендр,о,root,greek
о,те,о,root,greek
0,астр,о,root,greek
о,ном,о,root,greek
0,авт,о,root,greek
0,андр,о,root,greek
,син,о,prefix,greek
о,ним,о,root,greek
0,алл,о,root,greek
о,пар,о,root,greek
0,ерг/эрг,о,root,greek
о,троп,о,root,greek
0,альг,о,root,greek
